company_name,entry_region,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
DIGITAL RISK LLC,Americas,433184.43,682500.64,541196.69,596949.28,377312.21,394360.41,370290,407380.54,331526.29,337007.31,382367.92
DIGITAL RISK LLC,APAC,2009.74,5784.37,70.74,0,559.21,0,16626.03,4131.19,425.81,0,22309.72
DIGITAL RISK LLC,EMEA,0,0,0,0,0,0,124,3628.32,0,0,17.97
"DIGITAL RIVER, INC.",Americas,844163.32,780702.34,472578.06,504844.74,532071.11,558415.21,513322.96,533737.49,467610.31,445690.99,404257.87
"DIGITAL RIVER, INC.",APAC,15244.51,13268.44,7937.58,5995.32,19478.07,26609.8,18488.56,22456.31,22088.92,28689.21,23985.49
"DIGITAL RIVER, INC.",EMEA,65324.56,66645.45,36414.64,41076.69,19568.31,46594.35,26808.93,27945.62,19996.59,27441.98,78725.17
"DIGITAL RIVER, INC.",NULL,74.98,10.2,271.91,69.18,50.89,270.04,120.94,824.52,10584.83,14.93,204.47
"DIGITALGLOBE, INC.",Americas,857812.81,997566.25,1087660.4,945870.3,942891.04,1042135.8,1382189.39,1841214.86,1726274.97,2078997.98,1833042.31
"DIGITALGLOBE, INC.",APAC,179892.68,212634.9,207452.04,276712.63,147741.39,213591.19,243866.73,345963.56,212031.94,357276.7,231945.15
"DIGITALGLOBE, INC.",EMEA,139563.81,240184.83,173014.21,208562.6,142447.55,233148.7,184709.08,295805.55,294870.8,300460.75,170726.86
"DIGITALGLOBE, INC.",NULL,2241.3,332.47,801.91,1871.98,2086.23,450.63,4760.61,2113.11,3433.38,29.15,3636.09
DIGNITY HEALTH,Americas,13332562.83,16705332.87,14888475.54,15797518.44,12285121.92,15554811.35,11711945.34,14180260.35,12869503.28,18592870.18,12130649.07
DIGNITY HEALTH,APAC,2161.8,6274.23,14153.17,15676.96,20115.19,18088.11,10753.73,17031.4,11603.16,4333.56,9360.14
DIGNITY HEALTH,EMEA,4195.56,17962.57,11761.77,28790.97,38202.5,18923.44,16563.65,59117.68,50249.33,39975.37,23708.8
DIGNITY HEALTH,NULL,352.21,1084.61,2875.37,19860.76,13413.47,-6087.97,2938.32,771.26,1978.67,1565.96,6463.78
DIMENSIONAL FUND ADVISORS LP,Americas,2643827.48,3100421.65,2927494.26,3955648.85,3275137.59,4026410.68,3744410.6,4649156.29,3549969.22,4342779.9,4014664.14
DIMENSIONAL FUND ADVISORS LP,APAC,225874.4,363349.16,175128.35,431073.88,425790.12,238266.66,195058.69,413117.42,364873.59,292878.72,286084.91
DIMENSIONAL FUND ADVISORS LP,EMEA,332623.91,621545.87,595792.34,482018.06,519877.07,566881.75,432123.81,610885.64,418629.47,473756.28,441813.6
DIMENSIONAL FUND ADVISORS LP,NULL,22.69,245.05,363.33,33.83,13.39,0,43.95,148.65,74.67,419.69,476.91
