COMPANY_NAME,GEO,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,fff
GLOBAL ALLIANCE FOR TB DRUG DEVELOPMENT INC,EMEA,24103.79,19104.11,10915.21,21213.24,9388.14,11481.34,27390.28,56425.83,30786.21,26092.28,52637.39,289537.82
GLOBAL CASH ACCESS INC,Americas,721872.59,944426.02,958346.65,975064.43,1185600.62,928590.36,1080890.11,1428918.05,1134217.27,1664156.02,1633660.05,12655742.17
GLOBAL CASH ACCESS INC,APAC,13041.22,20415.94,46817.42,7736.28,15501.53,2297.67,22407.27,21684.43,4090.88,2704.32,21598.5,178295.46
GLOBAL CASH ACCESS INC,EMEA,4539.76,11022.48,7703.95,10948.69,11889.67,7615.42,2430.01,7945.74,13105.68,6974.11,23319.62,107495.13
GLOBAL EVENT SERVICES INC.,Americas,92279.98,148154.94,83907.67,84554.44,51209.29,65382.07,27437.44,38430.56,51455.2,38215.47,16071.28,697098.34
GLOBAL EXCEL MANAGEMENT INC,Americas,1579622.49,1553248.24,2088856.96,1287267.61,1134435.31,1415230.84,1188412.8,1011925,1646947.24,1633203.75,941498.39,15480648.63
GLOBAL FOUNDRIES U.S. INC.,Americas,2218350.49,2141695.15,2589795.8,2937114.14,2799584.51,3489966.24,3473193.47,4544263.18,3799707.41,4003524.35,3573789.84,35570984.58
GLOBAL FOUNDRIES U.S. INC.,APAC,700976.49,717056.06,702823.43,706793.94,532425.45,679100.21,726461.8,956664.44,943786.05,983868.82,835144.05,8485100.74
GLOBAL FOUNDRIES U.S. INC.,EMEA,325940.74,340024.41,279662.13,231201.14,165749.32,258174.08,289018.69,420539.01,368908.75,455430.4,413608.41,3548257.08
"GLOBAL FRANCHISE GROUP, LLC",Americas,248523.47,340024.31,309430.53,257747.88,333752.87,298932.8,274051.06,190564.82,323784.93,347737.33,372380.35,3296930.35
"GLOBAL HEALTHCARE EXCHANGE, INC.",Americas,687927.8,1357327.66,1417687.38,1292625.66,1032825.35,1449780.84,1329651.05,1252873.72,1219782.15,1654603.49,1145026.93,13840112.03
"GLOBAL HEALTHCARE EXCHANGE, INC.",EMEA,0,2226.1,104054.81,199352.43,106740.14,107076.25,92412.99,156925.02,102694.53,115946.74,102557.8,1089986.81
GLOBAL JET CAPITAL INC,Americas,98866.03,180357.99,146982.06,214261.57,168552.59,144998.9,224740.3,325239.03,373116.14,447487.07,375601.83,2700203.51
GLOBAL KNOWLEDGE NETWORK,Americas,425412.7,490528.75,388004.7,369531.34,384095.08,415496.57,371497.75,382701.92,392813.89,436160.54,356520.02,4412763.26
"GLOBAL MAIL, INC",Americas,582930.29,579203.54,569370.65,568899.2,429981.87,458409.81,573308.87,623171.84,585237.97,420202.49,470369.06,5861085.59
GLOBAL POWER EQUIPMENT GROUP INC.,Americas,1543317.82,1570386.74,1295914.88,762643.68,865647.5,928590.86,812724.47,649815.23,587519.7,787381.56,612116.27,10416058.71
GLOBAL SHOP SOLUTIONS INC,Americas,459790.56,481538.09,518499.6,500585.09,480804.81,506232.9,529622.53,572609.13,532754.33,542763.81,571565.29,5696766.14
GLOBAL SHOP SOLUTIONS INC,APAC,2179.76,1114.91,2060.75,1022.47,2860.31,2805.29,1322.79,2580.29,1498.53,2085.8,1980.1,21511
"GLOBAL STRATEGY GROUP, LLC",Americas,270900.82,323479.68,250658.95,323658.53,349204.11,374715.35,315901.76,235151.75,402229.8,489200.51,261490.51,3596591.77
GLOBAL TECH RESOURCES,Americas,395294.87,362096.3,386203.91,291553.05,358835.03,243923.43,237035.23,202131.32,146890.08,219023.35,83671.9,2926658.47
GLOBAL X MANAGEMENT COMPANY LLC.,Americas,88693.73,69839.59,87132.98,145099.18,96516.88,84180.77,63463.27,162500.23,128807.58,146814.32,150505.32,1223553.85
"GLOBALMEDIA GROUP, LLC",Americas,59995.3,85552.89,56831.82,34877.15,39820.56,51752.87,46845.26,38901.9,42755.99,78502.84,51754.42,587591
GLOBALSTAR INC,Americas,195520.48,253650.73,256078.81,240574.42,234028.42,248980.07,215240.5,191684.88,183436.37,122636.09,163259.9,2305090.67
GLOBECAST FRANCE,EMEA,46458.62,70046.14,82281.41,82071.28,73160.75,70891.99,53303.57,81947.55,41133.85,61728.98,44317.29,707341.43
GLOBECOMM SYSTEMS INC.,Americas,667462.47,797140.49,743157.49,643228.79,498291.28,579739.5,431994.3,520636.79,428935.12,648466.19,449466.68,6408519.1
GLOBECOMM SYSTEMS INC.,EMEA,70.14,0,0,0,0,0,0,0,0,0,0,70.14
"GLOBENET CABOS SUBMARINOS AMERICA, INC",Americas,96384.02,161044.2,149458.27,196616.57,183896.03,214470.3,212679.34,364560.92,232683.58,294814.04,453614.07,2560221.34
"GLOBENET CABOS SUBMARINOS AMERICA, INC",EMEA,0,0,0,0,1828.55,3666.8,784.56,0,0,0,0,6279.91
"GLOBYS, INC.",Americas,187113.78,183171.21,149426.91,175411.84,105085.54,109879.78,43602.66,107293.26,76063.59,52734.98,68810.41,1258593.96
"GLOBYS, INC.",APAC,11982.14,3596.31,5702.31,5804.38,3338.76,2036.75,5877.19,4484.6,1526.76,6795.52,3124.27,54268.99
"GLOBYS, INC.",EMEA,18632.62,19689.44,28104.55,5775.77,6120.77,17682.42,1631.38,144,150.19,359.46,149.57,98440.17
"GLYCOMARK, INC",Americas,35782.88,51790.43,56118.38,45045.19,39702.38,50347.08,34070.78,19186.45,21451.58,27900.83,10617.67,392013.65
GLYNLYON,Americas,464384.36,418812.4,832063.41,593479.24,448016.91,351547.38,288768.3,455552,399492.37,356951.94,384830.57,4993898.88
"GMP SECURITES, L.P.",Americas,918956.61,1057628.18,933195.01,1134348.87,743009.66,918660.31,675969.62,1226220.67,1267594.44,1184611.43,799513.77,10859708.57
"GMP SECURITIES, LLC",Americas,497860.23,640818.29,486732.31,562422.42,287572.34,336896.24,233946.88,245788.03,114188.89,155613.09,139216.05,3701054.77
GNS HEALTHCARE,Americas,209853.7,190477.15,181273.34,162860.66,117140.06,97007.44,114410.37,112877.4,187635.35,408892.77,125345.39,1907773.63
GODDARD SYSTEMS,Americas,547081.16,757159.22,661137.6,745281.98,660897.4,819810.37,721594.66,660414.9,581616.29,748990.41,669963.7,7573947.69
GODFREY HIRST,Americas,159332.72,157933,144078.49,158599.89,160658.08,151677.59,184934.62,151458.63,195815.07,153328.15,148150.48,1765966.72
GODIVA CHOCOLATIER INC.,Americas,1270452.75,1482585.38,1320612.98,1644582.53,1191562.52,1304205.76,1010384.81,1076780.45,805702.17,1026254.5,914033.25,13047157.1
GODIVA CHOCOLATIER INC.,EMEA,1277.61,2654.46,1409.88,551.92,3977.82,27197.95,3287.81,9588.66,4125.09,3058.14,8085.22,65214.56
GOEBEL FIXTURE COMPANY,Americas,559344.26,516303.28,649473.17,542352.67,616095.47,659003.5,664221.8,605669.62,519354.88,605282.53,594555.05,6531656.23
"GOENGINEER, INC.",Americas,181971.24,178539.22,168711.54,158274.36,169241.79,184432.67,201394.32,211123.83,188323.51,196055.89,212888.13,2050956.5
GOETTSCH INT.,Americas,114917.59,109704.33,99431.99,118970.65,122934.51,102334.46,106320.4,151913.21,76933.75,184558.18,173541.06,1361560.13
GOETTSCH INT.,APAC,0,2738.52,3552.55,1503.55,3315.5,1944.98,1576.12,3467.29,1875.18,1018.07,1275,22266.76
GOETTSCH INT.,EMEA,921.18,3897.21,2231.77,1511.89,2251.13,1153.15,10132.04,1359.79,3064.98,1774.61,3082.15,31379.9
"GOGO, LLC",Americas,2336247.61,2925327.74,3457508.1,3632906.33,3469171.22,4590499.8,4206830.86,5366819.89,4555663.12,5141976.77,4712988.65,44395940.09
"GOGO, LLC",EMEA,5029.08,11233.43,6964.17,7003.51,9400.93,10931.71,2230.23,803.97,0,0,0,53597.03
GOLD FIELDS AUSTRALIA PTY LIMITED,APAC,617142.71,738249.7,661161.95,352005.05,433478.53,720161.36,859231.63,851741.28,809167.25,772067.21,1313002.08,8127408.75
GOLDCORP INC,Americas,2240733.56,2809582.51,3495733.43,4663206.35,2235105.19,3222294.79,2768415.11,3718508.24,3099463.42,3616250.63,3694820.62,35564113.85
GOLDCORP INC,EMEA,0,0,0,0,0,0,0,0,0,4980.48,36169.87,41150.35
"GOLDEN GATE PRIVATE EQUITY, INC.",Americas,566518.87,593614.88,556839.22,836826.64,811775.97,696355.15,678892.9,589716.87,1937900.92,709166.31,580668.09,8558275.82
"GOLDEN GATE REGIONAL CENTER, INC.",Americas,32602.33,48042.94,49032.67,44215.4,36740.45,52347.49,45890.54,48156.36,53193.33,58050.08,48180.25,516451.84
GOLDEN PASS,Americas,664022.13,643185.87,610964.75,610655.43,574525.06,657661.33,595908.11,636199.6,435056.31,413017.6,452055.29,6293251.48
GOLDEN STATE FOODS CORP.,Americas,1721096.24,1851323.57,2309082.37,2703299.06,2215686.25,2482843.16,2444778.9,2252542.46,2087902.41,2293446.33,2292218.66,24654219.41
GOLDEN STATE FOODS CORP.,APAC,0,0,0,0,0,0,0,0,0,17713.91,10475.33,28189.24
GOLDEN STATE WARRIORS,Americas,503125.23,703591.78,945000.15,512921.28,789050.21,703310.14,1451482.26,1320529.87,1065534.58,1348573.59,1096076.67,10439195.76
"GOLDIEBLOX, INC.",Americas,150984.52,132702.54,125739.72,124325.66,76677.26,105340.09,61327.49,103374.25,73326.64,79047.77,102013.86,1134859.8
"GOLF & TENNIS PRO SHOP, INC.",Americas,134768.63,215201.26,117118.72,151820.98,170553.26,260843.03,177509.87,195512.25,177328.05,215019.79,163326.03,1979001.87
GOLUB CAPITAL LLC,Americas,844938.51,851961.99,590415.45,1148083.07,792269.5,977563.29,912064.29,869493.79,980924.91,921119.68,1154989.39,10043823.87
"GOOD START GENETICS, INC.",Americas,186046.63,275141.56,242465.41,316450.82,301262.72,313750.62,265163.44,346492.29,304678.34,315924.7,269165.52,3136542.05
GOODDATA CORPORATION,Americas,344168.11,510760.27,452558.28,352563.64,434692.56,313865.84,182796.68,241769.29,127416.72,200748.32,206136.14,3367475.85
GOODDATA CORPORATION,EMEA,0,0,0,0,0,0,0,3658.8,8695.84,8444.69,876.85,21676.18
"GOODING AND COMPANY, INC.",Americas,283404.53,400701.16,233086.74,389394.66,209959.58,422204.86,285807.4,215056.41,295618.29,395701.19,274728.68,3405663.5
"GOODMAN GLOBAL, INC.",Americas,9451586.37,10916402.97,8761163.7,9649756.27,8287135.6,10674399.17,8852455.61,10098951.38,9429671.23,11045999.65,8814825.51,105982347.5
"GOODMAN GLOBAL, INC.",EMEA,0,0,0,0,0,0,0,0,0,7831.49,4954.34,12785.83
GOOGLE,Americas,100956917,129107355,120232009.3,143786054.7,119023692.3,141443108.9,134207401.8,153003524.8,123598791.8,150071271.4,150489679.8,1465919807
GOOGLE,APAC,17533497.12,21282429.89,23230208.37,25846018.14,20166545.22,25984433.6,26261500.5,29361607.32,22852297.64,28808745.41,30582994.12,271910277.3
GOOGLE,EMEA,33213502.47,39458117.97,38253113.31,47619395.55,38033796.22,44687010.58,41650280.71,48464590.17,38977132.92,46220127.99,47779758.8,464356826.7
GOOSE ISLAND BEER COMPANY,Americas,767809.31,997826.99,1467705.18,1923141.12,1450836.75,2026650.08,2263143.61,2456359.23,2273357.24,3556439.22,3306435.12,22489703.85
GOOSE ISLAND BEER COMPANY,EMEA,0,0,0,0,60,0,0,0,0,0,0,60
GOPHER RESOURCE,Americas,191182.64,192785.73,214895.55,273508.26,173970.48,191350.49,180552.61,178893,135728.21,184891.26,151848.57,2069606.8
GORDIAN DYNAMICS,Americas,29849.64,41023.1,25818.19,23184.05,31302.51,26176.72,24031.32,9253.96,6216.48,2859.71,2103.89,221819.57
GORDON & BETTY MOORE FOUNDATION,Americas,312953.74,505071.57,429752.97,601319.97,340964.29,581057.71,541110.71,640433.85,445781.34,534463.34,461877.77,5394787.26
GORDON BROTHERS INTL LLC,APAC,0,0,0,0,0,0,0,0,0,4939.31,18115.13,23054.44
GORDON BROTHERS INTL LLC,EMEA,220027.15,246273.62,312945.28,337629.69,295097.19,400525.9,251075.03,248639.4,241778.27,263348.6,278348.39,3095688.52
GORMAN-RUPP COMPANY,Americas,370854.36,347591.3,304488.28,398631.97,320968.14,374592.87,349063.63,408830.56,395127.53,388825.99,390610.55,4049585.18
GORMAN-RUPP OF CANADA,Americas,17985.91,27456.48,22826.08,43002.63,15474.11,29291.89,21791.97,41704.78,19386.67,26331.91,49347.37,314599.8
"GOTHAM TECHNOLOGY GROUP, LLC",Americas,68472,99397.93,81511.69,79852.63,73796.5,65979.36,78541.9,71758.64,76580.17,64342.71,64044.32,824277.85
"GOULSTON TECHNOLOGIES, INC",Americas,205110.11,215216.79,182137.98,226130.05,289194.7,238985.82,288254.07,278773.05,374324.71,348556.89,424814.1,3071498.27
GOURMET FOODS INTERNATIONAL,Americas,730552.52,741057.95,830719.84,898491.93,949327.75,1067847.54,978838.48,1003076.53,998494.76,1139661.65,1033708.77,10371777.72
"GOVPLACE, INC.",Americas,57249.86,67953.17,79447.51,105554.29,63286.94,69010.16,71122.81,107607.14,31010.44,54810,56312.75,763365.07
"GPA ACQUISITION COMPANY, INC.",Americas,184262.15,215353.77,216768.32,216667.28,243457.17,238412.01,265964.22,237977.75,223079.41,268569.37,319714.7,2630226.15
"GPI TECHNOLOGIES, LLC",Americas,2955820.46,3684486.29,2539026.25,2244930.51,1880500.51,2201978.29,1870909.26,2053610.36,1789156.4,1384796.92,1536743.74,24141958.99
"GPI TECHNOLOGIES, LLC",EMEA,0,0,0,0,0,0,0,0,1256.71,0,0,1256.71
GPS CAPITAL MARKETS INC.,Americas,130097.51,148610.44,115528,189019.99,140234.42,160782.48,121753.71,171421.24,208112.8,150944.94,147610.61,1684116.14
GPS CAPITAL MARKETS INC.,APAC,0,0,0,0,0,0,0,0,0,0,7716.94,7716.94
GPS CAPITAL MARKETS INC.,EMEA,13977.33,8939.67,13295.98,15948.44,30003.09,26859.63,21139.17,35546.52,19200.1,16714.98,15136.79,216761.7
"GPX ENTERPRISES, L.P.",Americas,59967.56,116029.12,107341.12,118082.58,93092.76,112010.59,83099.72,138962.26,97251.45,155779,164856.6,1246472.76
"GRAFTECH INTERNATIONAL HOLDINGS, INC.",Americas,1096841.01,1149524.66,1114593.34,1186711.1,942793.42,1039480.88,1004358.71,1067006.31,822711.37,887811.4,798894.72,11110726.92
"GRAFTECH INTERNATIONAL HOLDINGS, INC.",APAC,23075.46,36250.83,23269.25,27864.04,22465.95,25139.62,28429.59,29575.23,23586.52,30569.1,28280.04,298505.63
"GRAFTECH INTERNATIONAL HOLDINGS, INC.",EMEA,182171.29,202747.57,186360.5,199012.87,138158.79,176264.72,142401.93,171039.08,116069.4,133937.89,110557.68,1758721.72
GRAHAM CAPITAL COMPANY,Americas,108736.91,177464.43,264824.3,149824.46,203166.76,133276.87,247891.51,141558.46,150168.2,125042.41,185084.75,1887039.06
GRAHAM PACKAGING EUROPE,EMEA,223417.2,322678.24,264973.53,314594.84,308726.67,318722.99,261900.71,327678.73,275349.88,316644.5,262662.63,3197349.92
GRAMEEN FOUNDATION USA,Americas,195182.02,192009.85,163513.54,242822.39,174123.72,120153.8,108222.77,101777.79,115439.96,106928.89,89956.88,1610131.61
GRAMEEN FOUNDATION USA,EMEA,154.67,0,0,1517.18,0,1101.27,379.44,4523.45,0,203.71,1442.22,9321.94
GRAMERCY PROPERTY TRUST INC.,Americas,132619.66,181047.55,178183.18,177881.53,223703.59,237453.35,280983.03,335186.12,277708.27,342353.31,319036.04,2686155.63
GRAN QUARTZ,Americas,681994.85,609636.22,594873.25,607717.41,698620.37,691167.56,664534.89,717102.36,971530.66,710865.95,802814.85,7750858.37
GRAND CANYON UNIVERSITY,Americas,467564.43,545168.91,516189.8,586261.84,550177.4,610486.37,528749.94,627730.58,561944.95,617882.13,588089.82,6200246.17
"GRANITE INVESTMENT PARTNERS, LLC",Americas,44968.49,57931.31,45358.57,69007.64,41508.15,44328.08,40602.75,75943.09,58219.4,30778.61,49569.86,558215.95
"GRANT &AMP; EISENHOFER, PA",Americas,570622.84,546315.51,409606.07,457242.76,430608.84,391306.42,402002.62,399935.45,506434.61,661821.33,531548.93,5307445.38
GRANT THORNTON AUSTRALIA LTD,APAC,1760220.29,2169453.12,1873632.09,1656355.02,1301534.92,1682052.29,1695283.12,1599928.67,1346626.71,1885919.76,1805731.22,18776737.21
GRANTMAKERS FOR EFFECTIVE ORGANIZATION,Americas,51444.88,61843.99,76041.99,77700.39,126858.4,84309.97,75770.3,109346.33,92787.4,103451.49,113287.56,972842.7
GRAPHIC ART MART PTY LTD,APAC,27503.61,91642,48273.41,74658.79,65300.62,68474.8,77097.83,85077.81,52985.75,82885.71,63815.08,737715.41
GRAPHIC CONTROLS ACQUISITION CORP.,Americas,98691.85,90174.55,138552.53,88509.24,95929.04,141714.45,140374.75,148545.11,135573.69,169969.13,159537.75,1407572.09
"GRAPHIC SOLUTIONS GROUP, INC.",Americas,362520.88,449233.33,440567.88,500330.73,406363.12,519547.77,566478.46,548518.47,563028.05,657721.22,439912.44,5454222.35
GRAPHICS PACKAGE INT,Americas,4271649.09,4311591.06,3485805.07,3377681.91,3839954.42,4064940.16,3695572.85,3541134.18,4180207.36,4864030.31,4246208.37,43878774.78
"GRASSROOT SOCCER, INC.",Americas,66939.04,64725.1,71396.53,95124.37,51052.46,73919.61,66877.34,85177.36,90155.56,106132.75,76113.77,847613.89
"GRASSROOT SOCCER, INC.",EMEA,0,0,263.85,5411.73,4335.82,3495.58,1126.97,4425.5,8193.55,5037.77,739.64,33030.41
"GRAVITY RENEWABLES, INC.",Americas,57106.89,84809.87,57371.68,58351.61,43153.13,82492.27,47315.05,101289.66,67342.88,117079.84,69843.88,786156.76
GRAYCLIFF PARTNERS LP,Americas,214371.7,227646.67,169777.55,186286.16,255373.31,173286.18,124094.12,186446.94,157070.11,149064.29,123907.18,1967324.21
"GREAT CLIPS, INC.",Americas,1112428.44,1191450.98,1163404.48,1375021.4,1231567.6,1428222.67,1289186.13,1637153,1360939.09,1477474.92,1300617.54,14567466.25
GREAT LAKES BREWING CO,Americas,72766.97,171251.21,180356.54,168947.98,125270.88,171496.16,156638.11,182150.81,166018.1,208921.79,173591.02,1777409.57
GREAT LAKES BREWING CO,EMEA,0,0,0,0,0,0,0,0,0,0,3610.08,3610.08
GREAT LAKES CASE & CABINET,Americas,1428168.96,1063728.04,1299481.43,997982.84,1027388.46,956552.98,875292.14,1079040.16,926299.11,1255094.69,1631534.82,12540563.63
GREAT PLACE TO WORK INSTITUTE,Americas,368049.27,329846.02,234674.54,435883.66,411262.05,290478.95,404194.69,466343.01,540806.56,324397.7,193263.38,3999199.83
GREAT POINT PARTNERS LLC,Americas,439149.18,449289.66,466251.07,574571.08,480036.28,512377.91,464894.04,631234.13,543155.54,583147.29,570341.35,5714447.53
GREAT WESTERN MALTING,Americas,740502.23,981649.25,1186288.27,893289.96,838302.16,1085118.07,1132551.14,950960.07,1018192.67,1163935.9,1487915.58,11478705.3
GREAT WORKS INTERNET,Americas,13492.69,22697.1,12010.75,14155.82,14975.23,12374.54,11977.69,13676.74,12003.6,14024.71,12263.44,153652.31
GREATAMERICA FINANCIAL SERVICES CORPORATION,Americas,405831.91,330038.11,568452.77,1142967.86,725173.33,729438.99,804961.61,901590.82,821527,770999.09,888690.24,8089671.73
GREATER DELAWARE VALLEY SOCIETY OF TRANSPLANT SURGEONS D/B/A GIFT OF LIFE DONOR PROGRAM,Americas,164520.97,211762.75,227255.87,228222.82,203527.01,215369.75,201495.76,190346.62,206471.48,252728.76,268834.43,2370536.22
GREATER LOUISVILLE INC.,Americas,21065.98,34181.2,25710.55,24747.12,21732.75,21015.01,27993.44,25488.36,18760.14,33309.74,28885.74,282890.03
GREATER PALM SPRINGS CONVENTION AND VISITORS BUREAU,Americas,48583.68,54989.73,48578.74,60690.25,49226.06,69357.62,44425.55,61169.29,39982.72,50597.72,53276.34,580877.7
GREEN DOT CORPORATION,Americas,587742.54,689717.26,915820.17,1025029.68,701296.25,640230.01,734881.15,725235.9,640069.45,729265.23,1138671.25,8527958.89
GREEN FLASH BREWING CO,Americas,398022.23,518531.29,621645.52,801143.52,544629.04,670715.3,681594.87,814367.29,498048.66,538500.54,634088.89,6721287.15
GREEN HASSON & JANKS LLP,Americas,196460.77,179831.4,243359.96,215716.46,299525.65,319696.13,255178.95,318556.68,298659.3,316745.41,321282.28,2965012.99
GREEN MOUNTAIN CONSULTING,Americas,70388.39,156834.34,260562.33,138373.49,78456.04,349783.28,197118.09,165940.05,131831.35,325140.55,255959.81,2130387.72
GREENCORE GROUP PLC,Americas,207166.24,551873.04,376080.15,268468.7,333364.72,377084.98,676747.82,376915.26,711598.5,810758.67,390659.5,5080717.58
GREENCORE GROUP PLC,EMEA,833929.64,883350.4,853451.54,934604,647161.07,1107791.42,880104.11,962263.65,816001.35,1144434.21,1053169.12,10116260.51
"GREENE, TWEED & CO. INC.",Americas,1454719.83,1052989.94,1229040.1,912887.4,1243032.7,887857,945983.29,959392.68,1055612.01,726061.53,1156156.15,11623732.63
"GREENE, TWEED & CO. INC.",APAC,349676.36,252509.41,248135.24,145605.72,171944.53,172119.02,143669.27,159990.3,151227.79,190392.79,142417.96,2127688.39
"GREENE, TWEED & CO. INC.",EMEA,290458.21,131560.22,148009.16,142585.63,126101.61,113691,154861.72,171129.27,186549.44,122701.44,115913.64,1703561.34
"GREENFIELD PARTNERS, LLC",Americas,235384.32,167649.18,197887.86,196364.11,191843.74,231905.97,164941.78,209271.27,158969.82,124947.94,148811.21,2027977.2
"GREENFIELD PARTNERS, LLC",EMEA,0,0,0,5925.24,0,0,0,0,0,0,0,5925.24
"GREENHILL &AMP; CO, LLC",Americas,1117170.78,1514825.67,1398201.47,1673707.14,1388777.97,1592910.99,1847027.5,1990318.01,1762513.11,1892682.88,2084276.14,18262411.66
"GREENHILL &AMP; CO, LLC",EMEA,0,0,0,0,0,0,0,2706.89,125445.73,457198.06,496965.75,1082316.43
"GREENPAGES, INC.",Americas,771138.44,827934.55,737359.14,550809,532142.52,621822.43,584277.61,443350.89,467210.63,555042.01,435398.49,6526485.71
GREENTECH CAPITAL ADVISORS,Americas,44688.92,112830.77,95913.44,88862.3,56816.34,68341.68,43079.68,98308.4,71363.88,70855.63,83431.63,834492.67
GREENTECH CAPITAL ADVISORS,EMEA,29938.06,17277.43,48309.2,35283.42,30898.64,29086.74,17886.14,29137.44,18234.57,22813.04,27633.32,306498
"GREENWICH ASSOCIATES, LLC",Americas,430802.68,305949.24,256311.02,476598.97,319298.9,295583.47,226658.02,351779.14,250369.45,202651.15,188702.88,3304704.92
"GREENWOOD RESOURCES, INC.",Americas,266466.58,300317.29,270718.34,357769.51,266019.66,389347.63,349115.78,369057.15,307683.79,258396.83,373927.27,3508819.83
GREGORY POOLE EQUIPMENT COMPANY,Americas,694493.49,506514.37,635621.09,1197961.48,657468.46,876709.92,978484.45,1146361.17,944064.4,858521.05,996457.98,9492657.86
"GREINER BIO-ONE NORTH AMERICA, INC.",Americas,500448.78,580155.33,498023.98,476684.29,465304.48,616510.42,474375.84,529753.72,493626.07,535240.25,577157.34,5747280.5
GRENZEBACH,Americas,463258.83,453284.41,439500.82,377436.57,347653.32,381809.33,341388.67,330421.23,339077.01,379866.5,346122.35,4199819.04
GRENZEBACH,EMEA,1113.19,0,1092.38,0,0,0,0,0,0,2688.18,1094.43,5988.18
GREY GLOBAL GROUP INC.,Americas,1308691.98,1784939.96,1401691.76,1754364.11,1635982.14,1702564.81,2101360.28,1880000.83,1316255.42,1363875.47,1344242.08,17593968.84
GRGICH HILLS CELLAR,Americas,68677.78,101652.6,67306.6,52922.44,82278.35,56639.81,30365.68,45284.57,54025.59,54110.14,61923.87,675187.43
"GRIDIRON CAPITAL, LLC",Americas,128520.99,159612.45,136714.34,248415.12,122050.58,119644.91,153609.83,207026.61,235981.04,165294.71,210148.57,1887019.15
GRIFFIN CAPITAL CORPORATION,Americas,441914.97,681993.57,640259.85,762793.67,627009.56,675748.73,721667.98,944059.89,889793.13,799862.15,845977.25,8031080.75
"GRIFFIN GREENHOUSE SUPPLIES, INC.",Americas,694765.88,798053.28,711651.1,884296.97,748232.05,733111.38,721116.58,713211.64,778734.82,805558.28,636643.08,8225375.06
GRIFFON CORPORATION,Americas,2149069.54,2613693.77,2318038.75,2432892.8,2526199.52,2524119.61,2836852.58,2431172.04,2796503,2822170.83,2617367.8,28068080.24
GRIFFON CORPORATION,APAC,0,73685.81,162949.04,135520.29,139439.81,136212.03,186846.17,215757.63,333948.47,316924.3,372392.84,2073676.39
GRIFFON CORPORATION,EMEA,0,218.63,106.18,94.01,0,965.58,1753.79,5935.94,16540.48,40445.08,28420.18,94479.87
"GRIFOLS SHARED SERVICES NORTH AMERICA, INC",Americas,6915343.13,9437993.59,9118924.41,10048248.21,9747085.15,10556041.88,10266081.71,11602053.64,10898024.32,12395153.2,11769908,112754857.2
"GRIFOLS SHARED SERVICES NORTH AMERICA, INC",EMEA,0,0,513.67,27684.4,89770.6,455289.17,337022.89,735043.22,876022.39,2209699.11,1971793.57,6702839.02
GRIMCO,Americas,612062.85,573364.95,680587.58,554853.45,706138.72,729471.56,795099.61,690865.58,683152.44,673766.3,668047.54,7367410.58
GRIMCO,EMEA,0,0,0,0,0,0,0,0,0,74.23,0,74.23
GRISWOLD INDUSTRIES DBA CLA VAL,Americas,489730.61,577538.36,581331.92,585479.12,505552.97,520890.73,508696.94,606750.99,584298.64,625812.72,631367.82,6217450.82
GROHE AMERICA INC,Americas,330762.75,356799.77,455228.48,434840.33,366224.02,380333.14,261009.11,267251.15,245532.72,167150.68,3426.82,3268558.97
GROHE PACIFIC PTE LTD,APAC,184055.68,212408.33,219116.2,221617.31,182475.52,212174.61,190800.87,196675.74,231246.86,193981.96,202434.25,2246987.33
GROHE PACIFIC PTE LTD,EMEA,0,0,0,0,0,86.39,0,0,0,0,0,86.39
"GROSVENOR CAPITAL MANAGEMENT, L.P.",Americas,1138736.25,1310059.85,943606.69,1236605,1059894.63,1180495.62,866970.38,1086060.82,787624.02,1080565.11,830884.36,11521502.73
"GROSVENOR CAPITAL MANAGEMENT, L.P.",APAC,16308.49,9887.81,411,0,0,0,0,0,0,0,0,26607.3
"GROSVENOR CAPITAL MANAGEMENT, L.P.",EMEA,98758.85,120470.32,114862.53,172746.82,99106.15,140558.27,105055.59,112953.64,120518.14,111297.97,131240.21,1327568.49
GROTE INDUSTRIES INC,Americas,352569.34,319490.19,365287.49,335991.11,406854.51,379725.02,364346.49,305140.34,374033.16,313887.3,378407.75,3895732.7
GROUP DEKKO SERVICES LLC,Americas,289138.86,291619.33,222764.91,288794.18,338021.56,380474.26,258158.97,290943.69,287491.05,267072.87,265817.57,3180297.25
GROUP HEALTH,Americas,1360535.56,1747204.62,1514285.05,2472487.44,1772244.87,1899493.48,1551419.6,2296620.28,1612190.3,2591138.17,2509220.97,21326840.34
"GROUP360, INC",Americas,636274.27,987556.85,819738.24,975124.87,792514.9,938600.47,934293.29,1291716.14,862719.53,1165143.44,1557760.7,10961442.7
"GROUP360, INC",EMEA,473.64,12325.13,25,0,0,0,1775.95,2636.19,2039.41,969.48,1973.76,22218.56
"GROUPM, INC.",Americas,3815637.78,4036414.48,3763209.76,4260061.03,3917981.81,4254671.3,3549644.14,3917319.48,3950848.52,3662678.99,3589551.13,42718018.42
"GROUPONE HEALTH SOURCE, INC.",Americas,131911.57,109175.61,136011.18,108752.3,135866.37,164189.04,117769.81,209556.5,115080.52,132805.81,145772.15,1506890.86
"GROUPWARE TECHNOLOGY, INC.",Americas,372732.57,575997.05,696462.44,700904.92,667712.41,969747.33,678850.68,637950.57,511024.45,674971.48,714717.42,7201071.32
